SMILES
Cc1cc(C(=O)N[C@H]2CCCN(Cc3ocnc3C)[C@H]2C)on1
CCc1ccccc1CC(=O)N(CC)CCNC(=O)c1cc(C)co1
Cc1nn(CC(F)(F)F)cc1C(=O)OC[C@@H]1CCCNC1=O
Cc1cc(NC(=O)NCCCCN2CCC[C@@H](C)C2)ccc1OCC(F)(F)F
COc1cc(OC)cc(-c2nnc(N3C[C@@H](C)[C@H](C)C3)n2Cc2ncnn2C(C)(C)C)c1
Cc1cc(NC(=O)N[C@H](C)c2noc(-c3ccccc3)n2)ccc1N(C)C
O=C(C1CC=CC1)N1CCO[C@]2(CCN(C(=O)[C@@H]3C[C@H]4CC[C@@H]3O4)C2)C1
CC/C=C(/C)C(=O)N(C)CCNCc1ccc2c(c1)OCCO2
COc1cc(C)c(CN(C)C(=O)C(=O)Nc2ccccc2-n2nccc2C)cc1OC
C[C@@H]1CN(C(=O)c2noc3c2CCCCC3)C[C@H]1NC(=O)c1cncnc1
COCc1cccc(CNC(=O)NCc2ccc(CN3CCC[C@H](C)C3)cc2)c1
CSCC(=O)N1CCC[C@H]([C@H](C)NC(=O)CS(C)(=O)=O)C1
Cc1ccn2c(CN3CCN(C(=O)[C@@](C)(O)c4ccccc4)CC3)c(C)nc2c1
CO[C@@H](C)CS(=O)(=O)NCC1C(C)(C)C1(C)C
C[C@@H]1CC(=O)CCN1C(F)(F)c1cc(Cl)nc(S)n1
O=C(Nc1ccc2occc(=O)c2c1)N[C@@H]1CCCc2c[nH]nc21
C[C@H](C(=O)NC1(CNC(=O)C2CCCC2)CCOCC1)c1ccco1
C[C@H](C(=O)NC[C@H](C)N(C)Cc1ccc(CF)cc1)c1cccnc1
CC(C)c1ocnc1CN[C@H]1CCN(C(=O)c2ccns2)[C@H]1C
CCOC(=O)c1cc2cc(C(=O)N3CCC[C@@H](CC(C)(C)C(N)=O)C3)ccc2[nH]1
CCC(CC)[C@H](C)C(=O)N[C@H]1[C@@H]2CN(C(=O)c3cscn3)C[C@@H]21
C[C@@H](C(=O)N(C)Cc1cccc(F)c1)n1cc([C@H]2CCCC(=O)C2)nn1
O=C(Nc1ccc(I)c(Cl)c1)N[C@H](C1CCC1)[C@H]1CCCO1
CCOc1cc(N2CCOC(C)(C)C2)ccc1NC(=O)N1CCC[C@@H]1c1ccc(OC)cn1
Cc1c(Cl)nc(CC(C)C)nc1N1CC(O)C1
O=C(OCCOCCO)[C@H]1CCCN1c1ncccn1
C[C@@H](NC(=O)CCCOc1ccccc1F)C(=O)NCCc1ccccc1
CN(CCc1nccs1)C(=O)N(C)[C@H]1CCS(=O)(=O)C1
Cn1c(=O)oc2cc(CN3CC[C@H]4CCCC[C@H]4C3)ccc21
Cc1cc(-c2nnc(N3CCOC[C@H]3C)n2C2CC2)c2ccccc2n1
CCC(=O)N1CCCCC[C@H](NC(=O)c2cc3cc(C)ccc3[nH]2)C1
C[C@@H]1CCC[C@H]1CC(=O)N1CCC(NC(=O)c2ccc(F)cc2)CC1
